symbol,strategy,signal_date,entry_date,exit_date,entry,exit,return,reason,hold_days,stop_pct,take_pct,group
600030.SH,平台突破,2026-01-06,2026-01-07,2026-01-09,29.92,28.1248,-0.062000000000000055,止损,5,0.06,0.12,A股高流动性样本
600030.SH,强势回踩,2026-05-11,2026-05-12,2026-05-19,27.35,26.27,-0.041488117001828195,5日持有,5,0.06,0.12,A股高流动性样本
600030.SH,综合高约束组合,2026-05-11,2026-05-12,2026-05-19,27.35,26.27,-0.041488117001828195,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,平台突破,2025-12-31,2026-01-05,2026-01-12,35.3,37.26,0.05352407932011327,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,平台突破,2026-01-27,2026-01-28,2026-02-02,41.4,38.916,-0.062000000000000055,止损,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2025-09-23,2025-09-24,2025-09-30,25.6,28.672,0.1180000000000001,止盈,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2025-09-25,2025-09-26,2025-10-09,26.88,30.1056,0.1180000000000001,止盈,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2025-12-22,2025-12-23,2025-12-30,33.06,33.42,0.008889292196007316,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2025-12-26,2025-12-29,2025-12-30,34.16,32.1104,-0.061999999999999944,止损,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2025-12-31,2026-01-05,2026-01-12,35.3,37.26,0.05352407932011327,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2026-01-05,2026-01-06,2026-01-13,36.0,38.24,0.06022222222222218,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,强势回踩,2026-01-26,2026-01-27,2026-02-02,40.23,37.8162,-0.062000000000000055,止损,5,0.06,0.12,A股高流动性样本
601899.SH,综合高约束组合,2025-09-25,2025-09-26,2025-10-09,26.88,30.1056,0.1180000000000001,止盈,5,0.06,0.12,A股高流动性样本
601899.SH,综合高约束组合,2025-12-22,2025-12-23,2025-12-30,33.06,33.42,0.008889292196007316,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,综合高约束组合,2025-12-26,2025-12-29,2025-12-30,34.16,32.1104,-0.061999999999999944,止损,5,0.06,0.12,A股高流动性样本
601899.SH,综合高约束组合,2025-12-31,2026-01-05,2026-01-12,35.3,37.26,0.05352407932011327,5日持有,5,0.06,0.12,A股高流动性样本
601899.SH,综合高约束组合,2026-01-05,2026-01-06,2026-01-13,36.0,38.24,0.06022222222222218,5日持有,5,0.06,0.12,A股高流动性样本
000333.SZ,平台突破,2025-09-02,2025-09-03,2025-09-10,76.06,76.53,0.004179332106232005,5日持有,5,0.06,0.12,A股高流动性样本
000333.SZ,平台突破,2025-11-12,2025-11-13,2025-11-20,78.71,77.94,-0.01178274679202129,5日持有,5,0.06,0.12,A股高流动性样本
002475.SZ,强势回踩,2025-09-18,2025-09-19,2025-09-22,54.15,60.648,0.1180000000000001,止盈,5,0.06,0.12,A股高流动性样本
002475.SZ,MACD+RSI趋势过滤,2025-10-29,2025-10-30,2025-10-31,66.94,62.9236,-0.062000000000000055,止损,5,0.06,0.12,A股高流动性样本
002475.SZ,综合高约束组合,2025-09-18,2025-09-19,2025-09-22,54.15,60.648,0.1180000000000001,止盈,5,0.06,0.12,A股高流动性样本
601012.SH,平台突破,2025-10-09,2025-10-10,2025-10-13,18.97,17.8318,-0.062000000000000055,止损,5,0.06,0.12,A股高流动性样本
601012.SH,平台突破,2025-10-14,2025-10-15,2025-10-22,19.27,18.77,-0.027947067981318074,5日持有,5,0.06,0.12,A股高流动性样本
601012.SH,平台突破,2025-10-29,2025-10-30,2025-11-06,21.01,21.77,0.03417325083293665,5日持有,5,0.06,0.12,A股高流动性样本
601012.SH,平台突破,2025-10-30,2025-10-31,2025-11-07,21.41,22.43,0.04564128911723486,5日持有,5,0.06,0.12,A股高流动性样本
601012.SH,强势回踩,2025-09-04,2025-09-05,2025-09-12,17.48,17.12,-0.022594965675057144,5日持有,5,0.06,0.12,A股高流动性样本
601012.SH,强势回踩,2025-10-29,2025-10-30,2025-11-06,21.01,21.77,0.03417325083293665,5日持有,5,0.06,0.12,A股高流动性样本
601012.SH,强势回踩,2025-11-14,2025-11-17,2025-11-19,22.0,20.68,-0.062000000000000055,止损,5,0.06,0.12,A股高流动性样本
601012.SH,综合高约束组合,2025-09-04,2025-09-05,2025-09-12,17.48,17.12,-0.022594965675057144,5日持有,5,0.06,0.12,A股高流动性样本
