strategy,hold_days,stop_pct,take_pct,trades,win_rate,avg_return,avg_win,avg_loss,profit_factor,max_drawdown
综合高约束组合,8,0.08,0.12,8,0.75,0.07005281312184768,0.10480555555555564,-0.034205414179276195,9.19201460385065,-0.05611334552102376
综合高约束组合,8,0.08,0.1,8,0.75,0.06494864645518102,0.09800000000000009,-0.034205414179276195,8.595130538665545,-0.05611334552102376
综合高约束组合,10,0.08,0.12,8,0.75,0.06819077619714317,0.10406481481481493,-0.03943133965587209,7.917419168840057,-0.0436819012797075
综合高约束组合,10,0.08,0.1,8,0.75,0.06364216508603204,0.09800000000000009,-0.03943133965587209,7.455998263457883,-0.0436819012797075
综合高约束组合,8,0.08,0.08,8,0.75,0.049948646455181,0.07800000000000007,-0.034205414179276195,6.841022265468495,-0.05611334552102376
综合高约束组合,5,0.08,0.12,8,0.75,0.045936745381511254,0.0719295076214959,-0.03204154133844267,6.734648642061105,-0.041488117001828195
综合高约束组合,5,0.08,0.1,8,0.75,0.04406906388268221,0.06943926562305718,-0.03204154133844267,6.501491132052278,-0.041488117001828195
综合高约束组合,5,0.08,0.08,8,0.75,0.04185077618989029,0.0664815486993346,-0.03204154133844267,6.224564667203289,-0.041488117001828195
综合高约束组合,3,0.08,0.12,8,0.75,0.03551905807291113,0.056788973752905626,-0.028290688967072375,6.022013866718039,-0.03856307129798908
综合高约束组合,10,0.08,0.08,8,0.75,0.04864216508603203,0.07800000000000007,-0.03943133965587209,5.934365964793009,-0.0436819012797075
强势回踩,8,0.08,0.1,12,0.75,0.06096576430345404,0.09800000000000009,-0.050136942786184115,5.86393951569412,-0.08199999999999996
强势回踩,10,0.08,0.1,12,0.75,0.06009477672402139,0.09800000000000009,-0.05362089310391471,5.482937395881161,-0.08199999999999996
综合高约束组合,3,0.08,0.1,8,0.75,0.030519058072911123,0.05012230708623896,-0.028290688967072375,5.315067492125392,-0.03856307129798908
综合高约束组合,8,0.08,0.06,8,0.75,0.03494864645518099,0.05800000000000005,-0.034205414179276195,5.086913992271445,-0.05611334552102376
强势回踩,8,0.08,0.08,12,0.75,0.045965764303454025,0.07800000000000007,-0.050136942786184115,4.667217165552462,-0.08199999999999996
综合高约束组合,5,0.08,0.06,8,0.75,0.02935077618989028,0.04981488203266793,-0.03204154133844267,4.66409042310033,-0.041488117001828195
综合高约束组合,3,0.08,0.08,8,0.75,0.02551905807291112,0.04345564041957228,-0.028290688967072375,4.608121117532745,-0.03856307129798908
综合高约束组合,3,0.08,0.06,8,0.75,0.02447798158565899,0.04206753843656944,-0.028290688967072375,4.460924067865437,-0.03856307129798908
强势回踩,5,0.08,0.1,12,0.75,0.04172714682453288,0.07186764939680887,-0.0486943608922951,4.427677953660984,-0.08199999999999996
综合高约束组合,10,0.08,0.06,8,0.75,0.033642165086032016,0.05800000000000005,-0.03943133965587209,4.412733666128135,-0.0436819012797075
强势回踩,10,0.08,0.08,12,0.75,0.045094776724021374,0.07800000000000007,-0.05362089310391471,4.36397058039521,-0.08200000000000007
强势回踩,5,0.08,0.08,12,0.75,0.03691495502933826,0.06545139366988272,-0.0486943608922951,4.032380288221777,-0.08199999999999996
强势回踩,3,0.08,0.1,12,0.75,0.03102793622439674,0.056768512514100616,-0.046193792644714904,3.6867623936435265,-0.08575561697321421
强势回踩,8,0.08,0.06,12,0.75,0.030965764303454008,0.05800000000000005,-0.050136942786184115,3.4704948154108055,-0.08199999999999996
强势回踩,10,0.08,0.06,12,0.75,0.03009477672402136,0.05800000000000005,-0.05362089310391471,3.2450037649092587,-0.08199999999999996
强势回踩,5,0.08,0.06,12,0.75,0.0272338507932602,0.052543254688445305,-0.0486943608922951,3.237125637894503,-0.08199999999999996
强势回踩,3,0.08,0.08,12,0.75,0.024361269557730065,0.047879623625211726,-0.046193792644714904,3.109484254310716,-0.08575561697321421
强势回踩,3,0.08,0.06,12,0.75,0.02033388523289531,0.042509777858765384,-0.046193792644714904,2.760746114897906,-0.08575561697321432
强势回踩,8,0.06,0.1,12,0.6666666666666666,0.04929909763678736,0.09800000000000009,-0.0481027070896381,4.074614753692749,-0.062000000000000055
强势回踩,10,0.06,0.1,12,0.6666666666666666,0.04842811005735471,0.09800000000000009,-0.050715669827936044,3.8646832559832665,-0.062000000000000055
强势回踩,8,0.08,0.12,12,0.6666666666666666,0.05270187541456515,0.10810416666666675,-0.05810270708963805,3.721140445311399,-0.08199999999999996
强势回踩,10,0.08,0.12,12,0.6666666666666666,0.05146051746476215,0.10754861111111122,-0.060715669827936,3.5426970143258414,-0.08199999999999996
强势回踩,3,0.04,0.1,12,0.6666666666666666,0.02771654501523226,0.05957710585236786,-0.036004576659038945,3.309418489574771,-0.04591926041431316
强势回踩,3,0.08,0.12,12,0.6666666666666666,0.0271110394356197,0.05851887345336318,-0.035704628599867255,3.277943266637466,-0.08575561697321421
强势回踩,8,0.06,0.08,12,0.6666666666666666,0.035965764303454016,0.07800000000000007,-0.0481027070896381,3.2430607223268817,-0.062000000000000166
强势回踩,10,0.06,0.08,12,0.6666666666666666,0.035094776724021365,0.07800000000000007,-0.050715669827936044,3.075972387415253,-0.061999999999999944
强势回踩,5,0.06,0.1,12,0.6666666666666666,0.030060480157866203,0.06860110557140997,-0.047020770669221335,2.9179064738857887,-0.062000000000000055
强势回踩,3,0.04,0.08,12,0.6666666666666666,0.021049878348565587,0.04957710585236785,-0.036004576659038945,2.753933552495834,-0.045919260414312935
强势回踩,5,0.06,0.08,12,0.6666666666666666,0.026914955029338255,0.06388281787861805,-0.047020770669221335,2.7172169647331708,-0.062000000000000055
强势回踩,3,0.06,0.1,12,0.6666666666666666,0.02466962240706651,0.05957710585236786,-0.04514534448353619,2.6393466052338894,-0.06583743869376368
强势回踩,5,0.08,0.12,12,0.6666666666666666,0.029638934490418916,0.07296878707023902,-0.05702077066922129,2.5593756876255678,-0.08199999999999996
强势回踩,3,0.04,0.06,12,0.6666666666666666,0.017022494023730832,0.04353602936511572,-0.036004576659038945,2.4183608532548044,-0.04591926041431327
强势回踩,8,0.06,0.06,12,0.6666666666666666,0.02263243097012067,0.05800000000000005,-0.0481027070896381,2.4115066909610148,-0.062000000000000055
强势回踩,10,0.06,0.06,12,0.6666666666666666,0.02176144339068802,0.05800000000000005,-0.050715669827936044,2.2872615188472394,-0.062000000000000055
强势回踩,5,0.06,0.06,12,0.6666666666666666,0.018900517459926863,0.05186116152450096,-0.047020770669221335,2.205883093211317,-0.061999999999999944
强势回踩,3,0.06,0.08,12,0.6666666666666666,0.01800295574039984,0.04957710585236785,-0.04514534448353619,2.1963330402960093,-0.06583743869376368
强势回踩,3,0.06,0.06,12,0.6666666666666666,0.013975571415565085,0.04353602936511572,-0.04514534448353619,1.9287051572280123,-0.06583743869376368
综合高约束组合,8,0.06,0.12,8,0.625,0.04755281312184767,0.10216666666666674,-0.04347027611951745,3.9171082628878438,-0.061999999999999944
综合高约束组合,8,0.06,0.1,8,0.625,0.04494864645518101,0.09800000000000009,-0.04347027611951745,3.7573567024111787,-0.062000000000000055
综合高约束组合,10,0.06,0.12,8,0.625,0.045690776197143165,0.10127777777777788,-0.04695422643724804,3.5949116640625363,-0.061999999999999944
综合高约束组合,10,0.06,0.1,8,0.625,0.04364216508603204,0.09800000000000009,-0.04695422643724804,3.4785650989612247,-0.062000000000000055
综合高约束组合,3,0.04,0.12,8,0.625,0.025551971259164433,0.061286815341894216,-0.03400610221205188,3.0037165565034956,-0.04200000000000004
综合高约束组合,8,0.06,0.08,8,0.625,0.032448646455181,0.07800000000000007,-0.04347027611951745,2.990549212123183,-0.061999999999999944
综合高约束组合,5,0.06,0.12,8,0.625,0.02906906388268221,0.0717271187476686,-0.04202769422562843,2.844438652070579,-0.061999999999999944
综合高约束组合,10,0.06,0.08,8,0.625,0.031142165086032028,0.07800000000000007,-0.04695422643724804,2.7686538542752603,-0.061999999999999944
综合高约束组合,3,0.04,0.1,8,0.625,0.020551971259164428,0.05328681534189421,-0.03400610221205188,2.6116300641971835,-0.04200000000000004
综合高约束组合,3,0.06,0.12,8,0.625,0.0234815873469158,0.061286815341894216,-0.03952712597804823,2.584166941285268,-0.061999999999999944
综合高约束组合,5,0.06,0.08,8,0.625,0.02435077618989029,0.06417785843920151,-0.04202769422562843,2.545062235021289,-0.061999999999999944
综合高约束组合,5,0.06,0.1,8,0.625,0.024069063882682207,0.06372711874766859,-0.04202769422562843,2.5271875256644414,-0.061999999999999944
综合高约束组合,3,0.06,0.1,8,0.625,0.018481587346915795,0.05328681534189421,-0.03952712597804823,2.2468458484049476,-0.062000000000000055
综合高约束组合,8,0.06,0.06,8,0.625,0.01994864645518099,0.05800000000000005,-0.04347027611951745,2.2237417218351876,-0.061999999999999944
综合高约束组合,3,0.04,0.08,8,0.625,0.015551971259164424,0.0452868153418942,-0.03400610221205188,2.219543571890871,-0.04200000000000004
综合高约束组合,3,0.04,0.06,8,0.625,0.014510894771912294,0.043621092962290796,-0.03400610221205188,2.137905166269018,-0.04200000000000004
综合高约束组合,10,0.06,0.06,8,0.625,0.018642165086032017,0.05800000000000005,-0.04695422643724804,2.058742609589296,-0.061999999999999944
综合高约束组合,5,0.06,0.06,8,0.625,0.01435077618989028,0.048177858439201506,-0.04202769422562843,1.9105599822090136,-0.061999999999999944
综合高约束组合,3,0.06,0.08,8,0.625,0.013481587346915791,0.0452868153418942,-0.03952712597804823,1.9095247555246269,-0.061999999999999944
综合高约束组合,3,0.06,0.06,8,0.625,0.012440510859663662,0.043621092962290796,-0.03952712597804823,1.8392893438342481,-0.061999999999999944
强势回踩,8,0.04,0.1,12,0.5833333333333334,0.042141876430205984,0.09800000000000009,-0.036059496567505754,3.8048229470745016,-0.08223599999999986
强势回踩,10,0.04,0.1,12,0.5833333333333334,0.039666666666666704,0.09800000000000009,-0.04200000000000004,3.2666666666666666,-0.08223599999999986
强势回踩,8,0.04,0.08,12,0.5833333333333334,0.030475209763539308,0.07800000000000007,-0.036059496567505754,3.0283284680797053,-0.08223600000000009
强势回踩,8,0.06,0.12,12,0.5833333333333334,0.041035208747898455,0.10669047619047627,-0.050882165671710486,2.9355406692076356,-0.062000000000000055
强势回踩,3,0.04,0.12,12,0.5833333333333334,0.023799648226455222,0.06197874597413468,-0.02965108862029602,2.9263763457370926,-0.045919260414313046
强势回踩,5,0.04,0.1,12,0.5833333333333334,0.02911038222501793,0.07713136462503892,-0.03811899313501146,2.8328111944770553,-0.08223599999999986
强势回踩,10,0.06,0.12,12,0.5833333333333334,0.03979385079809545,0.10605555555555567,-0.052972535862348846,2.80291995390976,-0.062000000000000166
强势回踩,5,0.04,0.08,12,0.5833333333333334,0.02596485709648998,0.07173903583327672,-0.03811899313501146,2.6347666060030424,-0.08223600000000009
强势回踩,10,0.04,0.08,12,0.5833333333333334,0.028000000000000025,0.07800000000000007,-0.04200000000000004,2.6,-0.08223600000000009
强势回踩,3,0.06,0.12,12,0.5833333333333334,0.020752725618289475,0.06197874597413468,-0.03696370287989381,2.3474445903250323,-0.0658374386937638
强势回踩,8,0.04,0.06,12,0.5833333333333334,0.018808543096872632,0.05800000000000005,-0.036059496567505754,2.251833989084909,-0.08223599999999998
强势回踩,5,0.04,0.06,12,0.5833333333333334,0.017950419527078588,0.05800000000000005,-0.03811899313501146,2.1301716892784257,-0.08223599999999998
强势回踩,5,0.06,0.12,12,0.5833333333333334,0.02172714682453286,0.07297269208161139,-0.050016616535377076,2.042556574013683,-0.062000000000000055
强势回踩,10,0.04,0.06,12,0.5833333333333334,0.01633333333333335,0.05800000000000005,-0.04200000000000004,1.9333333333333333,-0.08223599999999998
综合高约束组合,8,0.04,0.12,8,0.5,0.03181698131197562,0.0982083333333334,-0.03457437070938216,2.840495179473604,-0.08223599999999986
综合高约束组合,8,0.04,0.1,8,0.5,0.031712814645308965,0.09800000000000009,-0.03457437070938216,2.834469521477267,-0.08223600000000009
强势回踩,8,0.04,0.12,12,0.5,0.03387798754131708,0.10480555555555564,-0.03704958047292147,2.8287919651925657,-0.08223599999999998
强势回踩,10,0.04,0.12,12,0.5,0.031032407407407443,0.10406481481481493,-0.04200000000000004,2.47773368606702,-0.08223599999999998
综合高约束组合,5,0.04,0.12,8,0.5,0.025143916983409814,0.08743657538558391,-0.037148741418764286,2.353688767001367,-0.08223599999999986
综合高约束组合,10,0.04,0.1,8,0.5,0.02800000000000004,0.09800000000000009,-0.04200000000000001,2.333333333333335,-0.08223600000000009
综合高约束组合,10,0.04,0.12,8,0.5,0.027548611111111163,0.09709722222222233,-0.04200000000000001,2.3118386243386264,-0.08223599999999986
综合高约束组合,8,0.04,0.08,8,0.5,0.021712814645308956,0.07800000000000007,-0.03457437070938216,2.2560063538288455,-0.08223599999999998
强势回踩,5,0.04,0.12,12,0.5,0.022443715558351257,0.08365325872921207,-0.03876582761250955,2.15791236460582,-0.08223599999999998
综合高约束组合,5,0.04,0.08,8,0.5,0.02042562929061789,0.07800000000000007,-0.037148741418764286,2.09966736478995,-0.08223599999999998
综合高约束组合,5,0.04,0.1,8,0.5,0.02014391698340981,0.0774365753855839,-0.037148741418764286,2.0845006433103475,-0.08223600000000009
综合高约束组合,10,0.04,0.08,8,0.5,0.01800000000000003,0.07800000000000007,-0.04200000000000001,1.8571428571428583,-0.08223599999999998
综合高约束组合,8,0.04,0.06,8,0.5,0.011712814645308947,0.05800000000000005,-0.03457437070938216,1.6775431861804235,-0.08223599999999998
综合高约束组合,5,0.04,0.06,8,0.5,0.010425629290617883,0.05800000000000005,-0.037148741418764286,1.5612911174079114,-0.08223599999999998
综合高约束组合,10,0.04,0.06,8,0.5,0.008000000000000021,0.05800000000000005,-0.04200000000000001,1.3809523809523818,-0.08223599999999998
